report_link,report_url,GrossProduction,DryProduction,CanadianImports,West(Net),MidWest(Net),Northeast(Net),LNGImports,TotalSupply,U.S. Consumption - Gas Week,start,end,U.S.Consumption,Power,Industrial,Residential/Commercial,TotalDemand
"NaturalgasdryproductionatselectedpointsintheUnitedStatesRockyMountainregionhavereboundedduringthefinaltwoweeksofJanuary,accordingtodatafrom",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/01_31/,-0.29%,-0.29%,-2.25%,-4.79%,7.01%,-6.35%,-51.43%,-0.88%," (1/23/13 - 1/30/13)
", 1/23/13 ," 1/30/13
",6.29%,-15.79%,3.03%,20.67%,6.73%
TheYear2012wasWarmestonRecord.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/01_17/,-1.51%,-1.50%,-7.07%,11.28%,11.99%,-41.64%,-56.79%,-2.44%," (1/9/13 - 1/16/13)
", 1/9/13 ," 1/16/13
",-3.56%,-5.67%,-0.96%,-3.66%,-3.21%
NaturalGasYear-in-Review:Highnaturalgasinventorylastspringlimitedinjectionsduringthe2012storageinjectionseason,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/01_24/,-1.00%,-0.99%,8.51%,21.05%,31.19%,-19.44%,-48.35%,-0.68%," (1/16/13 - 1/23/13)
", 1/16/13 ," 1/23/13
",3.66%,-5.59%,2.96%,8.24%,4.10%
NaturalGasGenerationRises21Percent.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/02_28/,1.06%,1.05%,2.43%,-8.88%,37.38%,-7.83%,-67.19%,0.52%," (2/20/13 - 2/27/13)
", 2/20/13 ," 2/27/13
",12.31%,-2.81%,2.00%,27.68%,12.57%
PercentageofNewEnglandnaturalgasconsumptionfromCanaportandEverettLNGsendoutlessthanhalfoflevelslastwinter,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/02_21/,2.00%,1.98%,1.49%,-13.25%,38.56%,-0.56%,-45.73%,1.56%," (2/13/13 - 2/20/13)
", 2/13/13 ," 2/20/13
",9.04%,-7.96%,1.88%,22.83%,9.21%
"EIAprojectsrobustgrowthinnaturalgasproduction,consumption,andtrade",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/12_19/,0.95%,0.94%,51.97%,50.83%,63.06%,40.52%,1.61%,4.15%," (12/11/13 - 12/18/13)
", 12/11/13 ," 12/18/13
",26.4%,15.4%,6.5%,44.0%,25.9%
"JapaneseLNGimportvolumesandpricesgrewmorethan10percent,in2011and2012.",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/03_07/,0.72%,0.72%,-9.52%,-14.99%,42.64%,-36.35%,-36.65%,-0.31%," (2/27/13 - 3/6/13)
", 2/27/13 ," 3/6/13
",8.90%,-6.54%,1.52%,23.09%,9.11%
IntheNews:Plannednaturalgaspipelineexpansionswouldaddnearly30Bcf/dofnewcapacitythrough2016,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/03_28/,0.62%,0.61%,13.28%,14.61%,-5.41%,60.20%,-56.21%,1.04%," (3/20/13 - 3/27/13)
", 3/20/13 ," 3/27/13
",31.11%,-12.15%,9.71%,100.88%,31.33%
EIAprojectsend-of-seasoninventorieslessthan2trillioncubicfeet(Tcf).,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/03_14/,1.32%,1.31%,2.00%,-15.16%,30.41%,19.72%,-51.32%,1.08%," (3/6/13 - 3/13/13)
", 3/6/13 ," 3/13/13
",11.25%,-15.91%,5.47%,38.44%,11.48%
MarketednaturalgasproductionintheGulfofMexicofederaloffshoreregionfallsto6%ofnationaltotalin2012,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2013/04_04/,2.24%,2.21%,-4.02%,-3.76%,2.62%,-22.07%,-72.25%,1.41%," (3/27/13 - 4/3/13)
", 3/27/13 ," 4/3/13
",5.10%,-24.98%,4.10%,38.97%,5.54%
